7.1.83 Rob-21
Location,Type,Scene,Dungeon/Overworld
Spirit Temple MQ Compass Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Silver Block Hallway Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Chest,Chest,Spirit Temple,MQ
Spirit Temple Silver Gauntlets Chest,Chest,Desert Colossus,Vanilla/MQ
Spirit Temple Compass Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Early Adult Right Chest,Chest,Spirit Temple,Vanilla
Spirit Temple First Mirror Left Chest,Chest,Spirit Temple,Vanilla
Spirit Temple First Mirror Right Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Statue Room Northeast Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Statue Room Hand Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Near Four Armos Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Hallway Right Invisible Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Hallway Left Invisible Chest,Chest,Spirit Temple,Vanilla
Spirit Temple MQ Child Hammer Switch Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Statue Room Lullaby Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Statue Room Invisible Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Leever Room Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Beamos Room Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Chest Switch Chest,Chest,Spirit Temple,MQ
Spirit Temple MQ Boss Key Chest,Chest,Spirit Temple,MQ
Spirit Temple Mirror Shield Chest,Chest,Desert Colossus,Vanilla/MQ
Spirit Temple Boss Key Chest,Chest,Spirit Temple,Vanilla
Spirit Temple Topmost Chest,Chest,Spirit Temple,Vanilla
Spirit Temple MQ Mirror Puzzle Invisible Chest,Chest,Spirit Temple,MQ
Spirit Temple GS Metal Fence,GS Token,Spirit Temple,Vanilla
Spirit Temple GS Sun on Floor Room,GS Token,Spirit Temple,Vanilla
Spirit Temple GS Hall After Sun Block Room,GS Token,Spirit Temple,Vanilla
Spirit Temple GS Lobby,GS Token,Spirit Temple,Vanilla
Spirit Temple GS Boulder Room,GS Token,Spirit Temple,Vanilla
Spirit Temple MQ GS Sun Block Room,GS Token,Spirit Temple,MQ
Spirit Temple MQ GS Leever Room,GS Token,Spirit Temple,MQ
Spirit Temple MQ GS Symphony Room,GS Token,Spirit Temple,MQ
Spirit Temple MQ GS Nine Thrones Room West,GS Token,Spirit Temple,MQ
Spirit Temple MQ GS Nine Thrones Room North,GS Token,Spirit Temple,MQ
Spirit Temple Twinrova Heart,BossHeart,Twinrova's Lair & Nabooru's Mini-Boss Room,Vanilla/MQ
Spirit Temple Shifting Wall Recovery Heart 1,Freestanding,Spirit Temple,Vanilla
Spirit Temple Shifting Wall Recovery Heart 2,Freestanding,Spirit Temple,Vanilla
Spirit Temple MQ Child Recovery Heart 1,Freestanding,Spirit Temple,MQ
Spirit Temple MQ Child Recovery Heart 2,Freestanding,Spirit Temple,MQ
Spirit Temple Lobby Pot 1,Pot,Spirit Temple,Vanilla
Spirit Temple Lobby Pot 2,Pot,Spirit Temple,Vanilla
Spirit Temple Lobby Flying Pot 1,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Lobby Flying Pot 2,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Child Climb Pot,Pot,Spirit Temple,Vanilla
Spirit Temple Hall After Sun Block Room Pot 1,Pot,Spirit Temple,Vanilla
Spirit Temple Hall After Sun Block Room Pot 2,Pot,Spirit Temple,Vanilla
Spirit Temple Beamos Hall Pot,Pot,Spirit Temple,Vanilla
Spirit Temple Child Anubis Pot,Pot,Spirit Temple,Vanilla
Spirit Temple Child Bridge Flying Pot,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Before Child Climb Small Wooden Crate 1,SmallCrate,Spirit Temple,Vanilla
Spirit Temple Before Child Climb Small Wooden Crate 2,SmallCrate,Spirit Temple,Vanilla
Spirit Temple Central Chamber Flying Pot 1,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Central Chamber Flying Pot 2,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Adult Climb Flying Pot 1,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Adult Climb Flying Pot 2,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Big Mirror Flying Pot 1,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Big Mirror Flying Pot 2,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Big Mirror Flying Pot 3,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Big Mirror Flying Pot 4,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Big Mirror Flying Pot 5,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Big Mirror Flying Pot 6,FlyingPot,Spirit Temple,Vanilla
Spirit Temple Adult Boulder Silver Rupee Ledge,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Adult Boulder Silver Rupee Front Left,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Adult Boulder Silver Rupee Front Right,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Adult Boulder Silver Rupee Back Right,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Adult Boulder Silver Rupee Back Left,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Silver Rupee Left,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Silver Rupee Center Front,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Silver Rupee Center Back,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Silver Rupee Right Front,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Silver Rupee Right Back,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Silver Rupee Top Right,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Silver Rupee Bottom Right,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Silver Rupee Bottom Left,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Silver Rupee Top Left,SilverRupee,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Silver Rupee Near Torch,SilverRupee,Spirit Temple,Vanilla
Spirit Temple MQ Lobby and Lower Adult Silver Rupee Left Boulder,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Lobby and Lower Adult Silver Rupee Right Boulder,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Lobby and Lower Adult Silver Rupee Water Jet,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Lobby and Lower Adult Silver Rupee Behind Water Jet,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Lobby and Lower Adult Silver Rupee Near Door,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Silver Rupee 1,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Silver Rupee 2,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Silver Rupee 3,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Silver Rupee 4,SilverRupee,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Silver Rupee 5,SilverRupee,Spirit Temple,MQ
Spirit Temple Lobby Armos Left,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Lobby Armos Right,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Early Adult Beamos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Side Armos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Side Keese 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Side Keese 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Side Keese 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Side Keese 4,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Keese 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Keese 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Keese 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Keese 4,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Keese 5,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Early Torches Wallmaster,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Bridge Stalfos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Bridge Bubble,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Anubis,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Climb Skulltula 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Climb Skulltula 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Climb Skulltula 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Climb Skulltula 4,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Climb Lizalfos 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Climb Lizalfos 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Statue Room Adult Side Armos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Beamos 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Beamos 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Sun Block Room Beamos 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Child Side Iron Knuckle,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Early Adult Like Like,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Early Adult Wolfos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Climb Like Like,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Climb Wallmaster,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Climb Floormaster,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Hallway Beamos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Anubis 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Anubis 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Anubis 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Anubis Room Beamos,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple 4 Armos Room Armos 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple 4 Armos Room Armos 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple 4 Armos Room Armos 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple 4 Armos Room Armos 4,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Adult Iron Knuckle,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Boss Key Room Torch Slug 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Boss Key Room Torch Slug 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Boss Key Room Torch Slug 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Boss Key Room Torch Slug 4,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Shifting Wall Lower Beamos Left,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Shifting Wall Lower Beamos Right,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Shifting Wall Upper Beamos Left,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Shifting Wall Upper Beamos Right,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Shifting Wall Skullwalltula,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Big Mirror Bubble 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Big Mirror Bubble 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Big Mirror Bubble 3,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Big Mirror Lizalfos 1,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple Big Mirror Lizalfos 2,EnemyDrop,Spirit Temple,Vanilla
Spirit Temple MQ Lobby Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Lobby Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Lobby Pot 3,Pot,Spirit Temple,MQ
Spirit Temple MQ Lobby Pot 4,Pot,Spirit Temple,MQ
Spirit Temple MQ Child Torch Slugs Room Pot,Pot,Spirit Temple,MQ
Spirit Temple MQ Child 3 Gibdo Room Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Child 3 Gibdo Room Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Child Stalfos Fight Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Child Stalfos Fight Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Child Stalfos Fight Pot 3,Pot,Spirit Temple,MQ
Spirit Temple MQ Child Climb Pot,Pot,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Floor Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Floor Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Floor Pot 3,Pot,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Top Left Pot (Left),Pot,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Top Left Pot (Right),Pot,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Below 4 Wallmasters Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Below 4 Wallmasters Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ After Shifting Wall Room Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ After Shifting Wall Room Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Pot 1,Pot,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Pot 2,Pot,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Pot 3,Pot,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Pot 4,Pot,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Crate 1,Crate,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Crate 2,Crate,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Crate 1,Crate,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Crate 2,Crate,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Crate 3,Crate,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Crate 4,Crate,Spirit Temple,MQ
Spirit Temple MQ Early Child Torch Slug 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Early Child Torch Slug 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Before Gate Redead,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ After Gate Redead 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ After Gate Redead 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Map Room Keese 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Map Room Keese 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Map Room Keese 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Map Room Keese 4,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Map Room Keese 5,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Map Room Anubis,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Climb Baby Dodongo 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Climb Baby Dodongo 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Climb Baby Dodongo 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Climb Baby Dodongo 4,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Climb Like-Like,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Climb Beamos,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Wallmaster,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Zeldas Lullaby Wallmaster,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Central Chamber Floormaster,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Bubble 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Bubble 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Bubble 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Wallmaster 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Sun Block Room Wallmaster 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ After Sun Block Room Skulltula,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Child Iron Knuckle,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 4,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 5,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 6,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 7,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 8,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Symphony Room Skulltula 9,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Boulder Room Moblin,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Stalfos 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Stalfos 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Wallmaster 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Wallmaster 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Wallmaster 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Climb Wallmaster 4,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Song of Time Puzzle Beamos 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Song of Time Puzzle Beamos 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Song of Time Puzzle Beamos 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Song of Time Puzzle Beamos 4,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Chest Switch Lizalfos 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Chest Switch Lizalfos 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Before Adult Knuckle Floormaster,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Adult Iron Knuckle,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Boss Key Redead,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Nine Thrones Room Iron Knuckle,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Torch Slug,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Keese 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Keese 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Keese 3,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Shifting Wall Keese 4,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Torch Slug,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Lizalfos,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Bubble 1,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Big Mirror Bubble 2,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Spinning Platform Stalfos,EnemyDrop,Spirit Temple,MQ
Spirit Temple MQ Chest Switch Sword Wonderitem,Wonderitem,Spirit Temple,MQ
Spirit Temple MQ Chest Switch Hammer Wonderitem,Wonderitem,Spirit Temple,MQ
Ice Cavern Map Chest,Chest,Ice Cavern,Vanilla
Ice Cavern Compass Chest,Chest,Ice Cavern,Vanilla
Ice Cavern Iron Boots Chest,Chest,Ice Cavern,Vanilla
Ice Cavern GS Spinning Scythe Room,GS Token,Ice Cavern,Vanilla
Ice Cavern GS Heart Piece Room,GS Token,Ice Cavern,Vanilla
Ice Cavern GS Push Block Room,GS Token,Ice Cavern,Vanilla
Ice Cavern Freestanding PoH,Collectable,Ice Cavern,Vanilla
Ice Cavern Frozen Blue Rupee,Freestanding,Ice Cavern,Vanilla
Ice Cavern Map Room Recovery Heart 1,Freestanding,Ice Cavern,Vanilla
Ice Cavern Map Room Recovery Heart 2,Freestanding,Ice Cavern,Vanilla
Ice Cavern Map Room Recovery Heart 3,Freestanding,Ice Cavern,Vanilla
Ice Cavern Push Block Room Red Rupee 1,Freestanding,Ice Cavern,Vanilla
Ice Cavern Push Block Room Red Rupee 2,Freestanding,Ice Cavern,Vanilla
Ice Cavern Push Block Room Red Rupee 3,Freestanding,Ice Cavern,Vanilla
Ice Cavern Hall Pot 1,Pot,Ice Cavern,Vanilla
Ice Cavern Hall Pot 2,Pot,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Pot 1,Pot,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Pot 2,Pot,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Pot 3,Pot,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Flying Pot,FlyingPot,Ice Cavern,Vanilla
Ice Cavern Near End Pot 1,Pot,Ice Cavern,Vanilla
Ice Cavern Near End Pot 2,Pot,Ice Cavern,Vanilla
Ice Cavern Frozen Pot,Pot,Ice Cavern,Vanilla
Ice Cavern Entryway Freezard 1,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Entryway Freezard 2,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Entryway Freezard 3,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Entryway Freezard 4,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Block Push Ice Keese 1,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Block Push Ice Keese 2,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Block Push Ice Keese 3,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Near End Freezard 1,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Near End Freezard 2,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Wolfos,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Sliding Spike Freezard,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Map Chest Ice Keese 1,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Map Chest Ice Keese 2,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Map Chest Ice Keese 3,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Map Chest Freezard Ground,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Map Chest Freezard Lower Platform,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Map Chest Freezard Upper Platform,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Compass Chest Keese 1,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Compass Chest Keese 2,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Compass Chest Keese 3,EnemyDrop,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Silver Rupee Icicles,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Silver Rupee Center Left,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Silver Rupee Center Back,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Silver Rupee Center Right,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Spinning Scythe Silver Rupee Ledge,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Push Block Silver Rupee Back Left,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Push Block Silver Rupee Back Center,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Push Block Silver Rupee Front Center,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Push Block Silver Rupee Red Ice,SilverRupee,Ice Cavern,Vanilla
Ice Cavern Push Block Silver Rupee Front Left,SilverRupee,Ice Cavern,Vanilla
Ice Cavern MQ Map Chest,Chest,Ice Cavern,MQ
Ice Cavern MQ Compass Chest,Chest,Ice Cavern,MQ
Ice Cavern MQ Freestanding PoH,Collectable,Ice Cavern,MQ
Ice Cavern MQ Iron Boots Chest,Chest,Ice Cavern,MQ
Ice Cavern MQ GS Red Ice,GS Token,Ice Cavern,MQ
Ice Cavern MQ GS Ice Block,GS Token,Ice Cavern,MQ
Ice Cavern MQ GS Scarecrow,GS Token,Ice Cavern,MQ
Ice Cavern MQ First Hall Pot,Pot,Ice Cavern,MQ
Ice Cavern MQ Tektite Room Pot 1,Pot,Ice Cavern,MQ
Ice Cavern MQ Tektite Room Pot 2,Pot,Ice Cavern,MQ
Ice Cavern MQ Center Room Pot 1,Pot,Ice Cavern,MQ
Ice Cavern MQ Center Room Pot 2,Pot,Ice Cavern,MQ
Ice Cavern MQ Near End Pot,Pot,Ice Cavern,MQ
Ice Cavern MQ Compass Room Pot 1,Pot,Ice Cavern,MQ
Ice Cavern MQ Compass Room Pot 2,Pot,Ice Cavern,MQ
Ice Cavern MQ Entryway Freezard,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Entryway Tektite 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Entryway Tektite 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Center Room Wolfos,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Center Room Freezard 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Center Room Freezard 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Large Room Wolfos 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Large Room Wolfos 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Large Room Ice Keese 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Large Room Ice Keese 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Near End Ice Keese 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Near End Ice Keese 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Iron Boots Room Stalfos,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Before Compass Freezard 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Before Compass Freezard 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Compass Room Freezard 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Compass Room Freezard 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Compass Room Freezard 3,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Map Room Wolfos 1,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Map Room Wolfos 2,EnemyDrop,Ice Cavern,MQ
Ice Cavern MQ Map Room Skullwalltula,EnemyDrop,Ice Cavern,MQ
Gerudo Training Ground Lobby Left Chest,Chest,Gerudo Training Ground,Vanilla
Gerudo Training Ground Lobby Right Chest,Chest,Gerudo Training Ground,Vanilla
Gerudo Training Ground Stalfos Chest,Chest,Gerudo Training Ground,Vanilla
Gerudo Training Ground Before Heavy Block Chest,Chest,Gerudo Training Ground,Vanilla
Gerudo Training Ground Heavy Block First Chest,Chest,Gerudo Training Ground,Vanilla
